1  3.46212	7.294083e-01	3.314096e-01	2.394676e-03	4.588340e+01	
1  3.81379	8.175039e-01	3.435932e-01	3.997019e-03	4.434354e+01	
7  1.2933	4.700931e-01	3.246695e-01	4.650607e-03	3.481873e+01	
3  3.25756	2.979053e-01	3.257803e-01	5.842297e-03	1.580957e+01	
1  1.46119	7.001084e-01	3.177276e-01	4.040541e-03	3.369751e+01	
1  1.5915	2.313959e-01	3.236190e-01	4.031031e-03	3.501446e+01	
2  3.19639	6.569196e-01	3.035864e-01	2.085447e-03	3.969539e+01	
5  1.14941	1.161697e-01	3.118944e-01	5.112406e-03	2.964106e+01	
1  0.413628	2.512465e-01	3.116851e-01	6.433069e-03	3.346778e+01	
26  0.448508	2.685509e-02	3.178235e-01	8.880515e-03	4.919491e+01	
8  0.48366	1.023259e-02	3.029149e-01	7.530082e-03	4.214316e+01	
5  2.52706	1.365464e-01	2.877678e-01	6.483175e-03	3.409031e+01	
3  2.29554	4.309620e-01	3.034440e-01	4.406306e-03	2.553336e+01	
7  2.65095	3.995410e-01	3.224324e-01	6.042617e-03	1.941039e+01	
2  2.41749	3.845888e-01	3.223612e-01	3.279809e-03	2.935611e+01	
1  3.43546	7.218737e-01	2.953449e-01	2.661281e-03	4.111607e+01	
2  2.77948	5.523596e-01	2.990209e-01	3.229521e-03	4.690721e+01	
1  2.5088	5.467713e-02	3.131223e-01	3.886446e-03	5.653533e+01	
1  4.51274	2.936517e-01	3.087066e-01	4.280550e-03	6.817285e+01	
3  3.68617	1.158398e-01	3.071091e-01	4.967571e-03	6.581212e+01	
1  4.60228	2.905822e-01	3.003977e-01	5.181859e-03	6.839400e+01	
1  3.97403	1.888835e-01	3.173978e-01	3.290592e-03	6.290964e+01	
1  4.66258	2.042203e-01	2.963903e-01	1.348196e-03	4.448881e+01	
1  3.20817	3.862146e-01	3.085906e-01	1.866810e-03	3.609214e+01	
1  3.82694	9.309853e-01	3.173555e-01	1.424811e-03	3.094621e+01	
5  2.09673	1.389683e+00	3.127802e-01	3.026345e-03	4.463717e+01	
12  1.98999	8.356170e-01	3.122984e-01	5.916661e-03	5.324135e+01	
6  1.75169	2.883391e-01	3.136210e-01	4.751794e-03	5.473344e+01	
7  2.57807	2.784423e-01	3.034093e-01	6.475665e-03	6.196959e+01	
3  1.3574	4.020860e-01	3.079632e-01	7.232339e-03	5.563536e+01	
3  2.52284	3.679542e-01	3.098881e-01	3.031868e-03	5.054307e+01	
6  1.82044	2.556446e-01	3.117617e-01	3.286566e-03	4.003803e+01	
9  2.46416	6.930113e-01	3.005538e-01	6.555460e-03	5.490040e+01	
2  4.81837	1.049253e+00	3.232049e-01	1.792183e-03	5.920672e+01	
4  3.48893	3.230929e-01	3.214301e-01	2.542999e-03	5.532591e+01	
11  1.75031	6.158398e-02	3.343447e-01	6.532906e-03	2.944918e+01	
1  2.71884	7.490127e-01	3.323186e-01	3.253205e-03	4.263822e+01	
8  2.48997	3.907636e-01	3.377968e-01	4.742464e-03	3.505378e+01	
2  1.69139	6.121425e-01	3.187333e-01	3.593706e-03	3.515694e+01	
5  1.4612	8.830116e-01	3.204907e-01	4.743106e-03	3.536773e+01	
2  1.94754	7.808379e-01	3.267598e-01	5.727647e-03	4.040603e+01	
21  4.23429	2.387540e-01	3.324706e-01	1.079014e-02	6.225552e+01	
7  3.4206	1.061009e+00	3.248650e-01	5.608525e-03	4.770080e+01	
1  2.19429	6.818956e-01	3.341171e-01	4.676949e-03	4.643083e+01	
9  2.4346	3.837254e-01	3.323112e-01	7.858194e-03	3.300198e+01	
